,Tom,Katie,Ian,Jenn,Caryn,Gregg,Stephenie,Janu,Coby,Bobby Jon,Ibrehem,James,Angie,Willard,Kim,Jeff,Ashlee,Jolanda,Jonathan,Wanda
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
4,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False
5,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
7,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
8,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
9,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
10,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
11,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
12,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
13,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
14,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
15,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
