,Todd,Courtney,Amanda,Denise,Peih-Gee,Erik,James,Frosti,Jean-Robert,Jaime,Sherea,Aaron,Dave,Leslie,Ashley
1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
4,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
5,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False
6,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
7,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
8,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
9,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
10,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
11,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
12,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
13,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
